㇏ ban
乀 banv
宀 bbk
阝 bbu
艹 bck
凵 bcy
亠 bdh
⺈ bdkt
囗 bgo
⺌ bhd
彐 bio
𡗗 bip
必须 bixu
办公室 bjgsu
廴 bjz
保存 bkcp
百度 bldu
变化 bmhw
变成 bmig
编程 bmig2
编辑 bmji
边界 bmjx4
编码 bmma 
匚 bob
㐅 bpn
乄 bpng
龶 bq;
不错 buco
部分 buff
不仅 bujn
部首 buub3
攵 buw
不闻 buwf2
布纹 buwf2s
夂 buwv
不要 buyk
𰃮 bxd
巛 bxp
尢 byh
北京 bzj;
辶 bzv
测试 ceu 
词汇 cihv
词语 ciyu 
餐馆 cjgr3 
错误 cowu
存在 cpzl
。 d..
， d.b
· d.d
、 d.p
定义 d;yi 
打字 da3zi4 
达到 dadk
打开 dakl
豆包 dbb
’ ddy
‘ ddz
得到 dedk
； dfh
地方 difh
地理 dili3
第一 diyi
掸子 dj3zi0
担子 dj4zi0
但是 djui
单子 djzi
胆子 djzi0
淡紫 djzi3
单字 djzi4
倒数 dkuu
导数 dkuu4
） dky
（ dkz
： dmh
电话 dmhw
电脑 dmnk
电视机 dmuij
电影院 dmy;y
— dpv
￥ dqm
东西 dsx
！ dth
… dul
独体字 dutiz
》 duy
读音 duyn
《 duz
对的 dvd
】 dvy
对于 dvyu 
【 dvz
？ dwh
” dyy
“ dyz
发散 fasj
发展 favj
发现 faxm
法则 faze
分析 ffxi
方法 fhfa
方面 fhmm
方案 fhoj
方式 fhui
繁体 fjti
反提 fjti2
繁体字 fjtiz
反应 fjy;
反映 fjy;4
封妻荫子 fqyz fgqiynz
符合 fuhe
复合 fuhe2
负荷 fuhe4
附和 fuhe4h
复杂 fuza
非常 fzih
各种 gevs
根据 gfju
更新 ggxn
干部 gjbu
高效 gkxc
搞笑 gkxc4
国家 gojw
关闭 grbi
管理 grli
官吏 grli4
惯例 grli4r
关系 grxi
工程 gsig
公交车 gsjci
工具 gsju
功能 gsng 
公司 gssi
共同 gsts
共享 gsxd
工作 gsz
故事 guui
规范 gvfj
规则 gvze
恭喜发财 gxfc gsxifac
后面 hbmm
候选 hbxr
核心 hexn
何意味 heyiwz
行列式 hhlxu
狐假虎威 hjhw hujwhuw
函数 hjuu
汉书 hjuu1
寒暑 hjuu3
汉语 hjyu
韩语 hjyu3
汉字 hjzi4 
好吧 hkb
好罢 hkba
还是 hlui
孩子 hlzi
环境 hrj;
互联网 hulmw
回答 hvda
化学 hwxt
差不多 iabud
查询 iaxp2 
创业 idye
成为 igwz 
程序 igxu
程序员 igxuy
尝试 ihui4 
常用 ihys
常用字 ihysz
彳亍 iii
